Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Collection,Driver size (product.metafields.custom.driver_size),Product weight (product.metafields.custom.product_weight),Battery life (product.metafields.custom.battery_life),Bluetooth version (product.metafields.custom.bluetooth_version),Charging time (product.metafields.custom.charging_time),Wireless range (product.metafields.custom.wireless_range)
ritual-overear-pro,Ritual Over-Ear Pro,"<p>Flagship wireless headphones built for all-day clarity. Adaptive noise cancellation, memory-foam cushions, and a 40mm driver tuned for balanced detail.</p><ul><li>Adaptive ANC with transparency mode</li><li>35-hour battery life</li><li>Multipoint Bluetooth 5.3</li><li>Foldable travel hinge</li></ul>",Ritual,Electronics > Audio > Headphones,Headphones,"New, Best Seller, Flagship",TRUE,Color,Black,,,,,ROE-PRO-BLK,285,shopify,48,deny,manual,349.00,399.00,TRUE,TRUE,,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=1200&q=80,1,Ritual Over-Ear Pro in black,FALSE,Ritual Over-Ear Pro | Wireless Headphones,Flagship over-ear headphones with adaptive ANC and 35-hour battery.,active,Best Sellers,40mm,285 g,35h,v5.3,2h,10m
ritual-overear-pro,,,,,,,,Color,Silver,,,,,ROE-PRO-SLV,285,shopify,6,deny,manual,349.00,399.00,TRUE,TRUE,,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=1200&q=80,2,Ritual Over-Ear Pro in silver,FALSE,,,,,,,,,,
ritual-overear-pro,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=1200&q=80,3,Ritual Over-Ear Pro side profile,FALSE,,,,,,,,,,
ritual-overear-pro,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1524678606370-a47ad25cb82a?w=1200&q=80,4,Ritual Over-Ear Pro lifestyle,FALSE,,,,,,,,,,
ritual-overear-lite,Ritual Over-Ear Lite,"<p>Everyday wireless headphones with soft cushions and a lighter frame. Tuned for podcasts, commuting, and long listening sessions.</p><ul><li>Lightweight magnesium frame</li><li>28-hour battery</li><li>On-ear controls</li><li>USB-C fast charge</li></ul>",Ritual,Electronics > Audio > Headphones,Headphones,Best Seller,TRUE,Color,Black,,,,,ROE-LITE-BLK,220,shopify,32,deny,manual,199.00,229.00,TRUE,TRUE,,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=1200&q=80,1,Ritual Over-Ear Lite in black,FALSE,Ritual Over-Ear Lite,Lightweight everyday over-ear headphones with 28-hour battery.,active,Headphones,40mm,220 g,28h,v5.2,1.5h,10m
ritual-overear-lite,,,,,,,,Color,Sand,,,,,ROE-LITE-SND,220,shopify,18,deny,manual,199.00,229.00,TRUE,TRUE,,https://images.unsplash.com/photo-1572536147248-ac59a8abfa32?w=1200&q=80,2,Ritual Over-Ear Lite in sand,FALSE,,,,,,,,,,
ritual-earbuds-pulse,Ritual Earbuds Pulse,<p>Compact true wireless earbuds with deep bass and secure fit. Ideal desk-to-gym companion with wireless charging case.</p><ul><li>IPX4 splash resistance</li><li>24-hour total battery with case</li><li>Touch controls</li><li>Wireless charging case</li></ul>,Ritual,Electronics > Audio > Headphones,Earbuds,"New, Best Seller",TRUE,Color,Black,,,,,REB-PULSE-BLK,52,shopify,64,deny,manual,149.00,179.00,TRUE,TRUE,,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=1200&q=80,1,Ritual Earbuds Pulse in black,FALSE,Ritual Earbuds Pulse,True wireless earbuds with deep bass and wireless charging case.,active,Best Sellers,11mm,52 g,24h,v5.3,1h,10m
ritual-earbuds-pulse,,,,,,,,Color,White,,,,,REB-PULSE-WHT,52,shopify,41,deny,manual,149.00,179.00,TRUE,TRUE,,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=1200&q=80,2,Ritual Earbuds Pulse in white,FALSE,,,,,,,,,,
ritual-earbuds-air,Ritual Earbuds Air,<p>Featherweight earbuds designed for all-day comfort. Clear calls and a low-profile case that disappears in a pocket.</p><ul><li>Ergonomic stem design</li><li>20-hour total battery</li><li>Transparency mode</li><li>USB-C case</li></ul>,Ritual,Electronics > Audio > Headphones,Earbuds,Everyday,TRUE,Title,Default Title,,,,,REB-AIR,48,shopify,55,deny,manual,129.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1606400082777-ef05f6107092?w=1200&q=80,1,Ritual Earbuds Air,FALSE,Ritual Earbuds Air,Featherweight everyday earbuds with transparency mode.,active,Headphones,10mm,48 g,20h,v5.2,1h,10m
ritual-travel-case,Ritual Travel Case,<p>Hard-shell travel case sized for Ritual over-ear headphones. Soft microfiber lining and cable pocket.</p><ul><li>Impact-resistant shell</li><li>Microfiber interior</li><li>Carabiner loop</li><li>Fits Over-Ear Pro and Lite</li></ul>,Ritual,Electronics > Audio > Audio Accessories,Accessories,Accessory,TRUE,Title,Default Title,,,,,RAC-CASE,180,shopify,80,deny,manual,49.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=1200&q=80,1,Ritual Travel Case,FALSE,Ritual Travel Case,Protective hard-shell travel case for Ritual over-ear headphones.,active,Accessories,,,,,,
ritual-cable-premium,Ritual Premium Cable,<p>Braided USB-C to 3.5mm cable for wired listening and charging passthrough. Low-noise shielding for studio-clean playback.</p><ul><li>1.2m braided jacket</li><li>Gold-plated connectors</li><li>Works with Over-Ear Pro and Lite</li></ul>,Ritual,Electronics > Audio > Audio Accessories,Accessories,Accessory,TRUE,Title,Default Title,,,,,RAC-CABLE,45,shopify,120,deny,manual,29.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1599669454699-248893623440?w=1200&q=80,1,Ritual Premium Cable,FALSE,Ritual Premium Cable,Braided USB-C to 3.5mm cable for Ritual headphones.,active,Accessories,,,,,,
ritual-desk-stand,Ritual Desk Stand,<p>Walnut and aluminum headphone stand that keeps your desk clear. Weighted base with soft contact pads.</p><ul><li>Solid walnut post</li><li>Aluminum weighted base</li><li>Soft contact pads</li><li>Fits all Ritual over-ears</li></ul>,Ritual,Electronics > Audio > Audio Accessories,Accessories,Accessory,TRUE,Title,Default Title,,,,,RAC-STAND,620,shopify,35,deny,manual,79.00,89.00,TRUE,TRUE,,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=1200&q=80,1,Ritual Desk Stand,FALSE,Ritual Desk Stand,Walnut and aluminum stand for Ritual over-ear headphones.,active,Accessories,,,,,,
ritual-charging-dock,Ritual Charging Dock,<p>Nightstand charging dock for Ritual earbuds cases. Soft-touch cradle with USB-C passthrough cable included.</p><ul><li>Soft-touch cradle</li><li>Cable management channel</li><li>Compatible with Pulse and Air cases</li></ul>,Ritual,Electronics > Audio > Audio Accessories,Accessories,Accessory,TRUE,Title,Default Title,,,,,RAC-DOCK,240,shopify,44,deny,manual,59.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1495305375031-5d2b4a0e1b0b?w=1200&q=80,1,Ritual Charging Dock,FALSE,Ritual Charging Dock,Nightstand charging dock for Ritual earbud cases.,active,Accessories,,,,,,
